source_file,id,text_for_NLP,cluster
cleaned_JD_Backend_Engineer.csv,0,"後端工程師 (金融科技)，負責設計與開發金融交易系統後端服務，確保高可用性與低延遲。，Python, Django, PostgreSQL, RESTful API, Git，資訊相關科系學士以上，2年以上後端開發經驗，有金融業系統開發經驗、具備 AWS 雲端服務操作經驗",2
cleaned_JD_Backend_Engineer.csv,1,"資深後端工程師 (電商平台)，開發與維護大型電商平台後端系統，優化資料處理效能。，Java, Spring Boot, MySQL, Redis, Kafka，資訊相關科系學士以上，3年以上 Java 開發經驗，有高流量系統開發經驗、具備 Docker 使用經驗",2
cleaned_JD_Backend_Engineer.csv,2,"後端工程師 (SaaS 產品)，協助開發多租戶架構的 SaaS 平台，實作 API 與使用者管理功能。，Node.js, Express, MongoDB, JWT, GitLab CI/CD，大專以上，具備 2 年以上 Node.js 實務經驗，熟悉 OAuth2 認證流程、有微服務架構經驗",2
cleaned_JD_Backend_Engineer.csv,3,"後端工程師 (AI 產品)，建置支援機器學習模型的 API 與任務排程系統。，Python, FastAPI, Celery, PostgreSQL, Docker，碩士以上，具備資料處理與後端開發經驗，了解 MLOps、熟悉 Hugging Face Transformers",3
cleaned_JD_Backend_Engineer.csv,4,"後端工程師 (新創社群平台)，協作開發高互動性的社群平台後端系統，並整合第三方登入服務。，Go, Gin, MySQL, Redis, Git，資訊或工程相關背景，1 年以上 Go 語言經驗，參與過社群或媒體平台開發、有 RESTful API 設計經驗",2
cleaned_JD_Backend_Engineer.csv,5,"後端工程師 (IoT 應用)，設計與開發處理 IoT 裝置數據的資料處理服務與後端架構。，C#, .NET Core, MQTT, MSSQL, Git，大學以上，2 年以上 C# 開發經驗，熟悉物聯網通訊協定與邊緣運算架構",2
cleaned_JD_Backend_Engineer.csv,6,"後端工程師 (醫療資訊系統)，協助開發與維護醫療院所後台系統與資料串接模組。，Java, Spring, Oracle DB, RESTful API, Git，醫工、資訊相關科系畢，3 年以上 Java 經驗，具 HL7/FHIR 應用經驗、醫療系統背景",2
cleaned_JD_Backend_Engineer.csv,7,"後端工程師 (B2B 供應鏈平台)，開發供應鏈系統中的交易處理模組與資料介接邏輯。，PHP, Laravel, MySQL, RabbitMQ, Git，大學以上學歷，具 B2B 平台開發經驗者尤佳，了解 ERP 系統架構、具備前後端整合經驗",3
cleaned_JD_Backend_Engineer.csv,8,"後端工程師 (教育科技平台)，開發線上學習平台的後端功能模組與課程資料串接機制。，Python, Flask, SQLite, REST API, Git，資訊相關背景，具備後端專案開發經驗，有教育平台建置經驗、熟悉內容管理系統",3
cleaned_JD_Backend_Engineer.csv,9,"後端工程師 (數據分析平台)，負責數據平台的 ETL 流程與分析 API 建置。，Python, Airflow, PostgreSQL, Pandas, Docker，大學以上學歷，具 ETL 或資料工程經驗，具備資料視覺化工具整合經驗",3
