source_file,id,text_for_NLP,cluster
cleaned_fake_backend_engineer_resumes.csv,0,"後端工程師，C#, .NET Core, SQL Server, Azure Functions, ElasticSearch，設計訂單處理與庫存管理 API，提高資料一致性與可靠性。；導入 Redis 快取機制，改善商品查詢延遲問題。，博士，國立成功大學統計學系，Azure Data Scientist Associate, MOS Excel Expert",2
cleaned_fake_backend_engineer_resumes.csv,1,"後端工程師，Python, Django, PostgreSQL, Docker, Redis，整合課程與登入系統，提供 OAuth 第三方驗證機制。；建構線上測驗與成績查詢後端 API，穩定支援千人同時使用。，碩士，國立清華大學資訊工程學系，TQC+ 資料分析",2
cleaned_fake_backend_engineer_resumes.csv,2,"後端工程師，Golang, Gin, gRPC, Kafka, Cassandra，開發後端服務處理醫療影像上傳與儲存，支援大規模醫院系統。；整合醫療資料庫與病歷系統，提升跨部門資料存取效率。，博士，國立清華大學電機工程學系，統計學會 SAS 證照",2
cleaned_fake_backend_engineer_resumes.csv,3,"後端工程師，Python, Django, PostgreSQL, Docker, Redis，建構線上測驗與成績查詢後端 API，穩定支援千人同時使用。；整合課程與登入系統，提供 OAuth 第三方驗證機制。，博士，國立交通大學電機工程學系，統計學會 SAS 證照, Azure Data Scientist Associate",2
cleaned_fake_backend_engineer_resumes.csv,4,"後端工程師，Golang, Gin, gRPC, Kafka, Cassandra，開發高併發後端架構，支援百萬級使用者請求。；建置微服務架構與 CI/CD 流程，提升部署與維護效率。，學士，國立中興大學資訊工程學系，AWS Certified Data Analytics",2
cleaned_fake_backend_engineer_resumes.csv,5,"後端工程師，Node.js, Express, MongoDB, AWS EC2, Jest，開發 IoT 資料蒐集後端，穩定處理每秒上千筆設備訊息。；建立生產排程管理系統後端服務，支援多廠區協同作業。，學士，國立台灣大學應用數學系，",2
cleaned_fake_backend_engineer_resumes.csv,6,"後端工程師，Golang, Gin, gRPC, Kafka, Cassandra，開發 API Gateway 管理外部與內部資料流向。；建置電信用戶後台服務平台，整合帳務與客服模組。，學士，國立台灣大學電機工程學系，TQC+ 資料分析",2
cleaned_fake_backend_engineer_resumes.csv,7,"後端工程師，Node.js, Express, MongoDB, AWS EC2, Jest，導入 Redis 快取機制，改善商品查詢延遲問題。；設計訂單處理與庫存管理 API，提高資料一致性與可靠性。，博士，國立中興大學工業工程學系，",2
cleaned_fake_backend_engineer_resumes.csv,8,"後端工程師，Java, Spring Boot, MySQL, Kubernetes, RabbitMQ，導入 Redis 快取機制，改善商品查詢延遲問題。；設計訂單處理與庫存管理 API，提高資料一致性與可靠性。，博士，國立中央大學工業工程學系，",2
cleaned_fake_backend_engineer_resumes.csv,9,"後端工程師，C#, .NET Core, SQL Server, Azure Functions, ElasticSearch，設計即時車輛追蹤後端服務，整合 GPS 與地圖 API。；開發票價查詢與訂票系統後端服務，提升乘客體驗。，博士，國立中央大學資訊工程學系，Google Professional Data Engineer",2
cleaned_fake_backend_engineer_resumes.csv,10,"後端工程師，Python, Django, PostgreSQL, Docker, Redis，開發 IoT 資料蒐集後端，穩定處理每秒上千筆設備訊息。；建立生產排程管理系統後端服務，支援多廠區協同作業。，學士，國立交通大學資訊工程學系，Azure Data Scientist Associate",2
cleaned_fake_backend_engineer_resumes.csv,11,"後端工程師，PHP, Laravel, MariaDB, Nginx, CI/CD，建置微服務架構與 CI/CD 流程，提升部署與維護效率。；開發高併發後端架構，支援百萬級使用者請求。，博士，國立中山大學統計學系，MOS Excel Expert, Python 程式設計認證",2
cleaned_fake_backend_engineer_resumes.csv,12,"後端工程師，Python, Django, PostgreSQL, Docker, Redis，開發後端服務處理醫療影像上傳與儲存，支援大規模醫院系統。；整合醫療資料庫與病歷系統，提升跨部門資料存取效率。，碩士，國立中央大學工業工程學系，Coursera: Deep Learning Specialization, Python 程式設計認證",2
cleaned_fake_backend_engineer_resumes.csv,13,"後端工程師，Java, Spring Boot, MySQL, Kubernetes, RabbitMQ，建構線上測驗與成績查詢後端 API，穩定支援千人同時使用。；整合課程與登入系統，提供 OAuth 第三方驗證機制。，學士，國立交通大學電機工程學系，",2
cleaned_fake_backend_engineer_resumes.csv,14,"後端工程師，Golang, Gin, gRPC, Kafka, Cassandra，導入 Redis 快取機制，改善商品查詢延遲問題。；設計訂單處理與庫存管理 API，提高資料一致性與可靠性。，博士，國立清華大學工業工程學系，Azure Data Scientist Associate, AWS Certified Data Analytics",2
cleaned_fake_backend_engineer_resumes.csv,15,"後端工程師，C#, .NET Core, SQL Server, Azure Functions, ElasticSearch，開發 IoT 資料蒐集後端，穩定處理每秒上千筆設備訊息。；建立生產排程管理系統後端服務，支援多廠區協同作業。，碩士，國立中央大學財務金融學系，TQC+ 資料分析, Python 程式設計認證",2
cleaned_fake_backend_engineer_resumes.csv,16,"後端工程師，Node.js, Express, MongoDB, AWS EC2, Jest，開發 API Gateway 管理外部與內部資料流向。；建置電信用戶後台服務平台，整合帳務與客服模組。，博士，國立中山大學應用數學系，TQC+ 資料分析",2
cleaned_fake_backend_engineer_resumes.csv,17,"後端工程師，Java, Spring Boot, MySQL, Kubernetes, RabbitMQ，開發高併發後端架構，支援百萬級使用者請求。；建置微服務架構與 CI/CD 流程，提升部署與維護效率。，碩士，國立清華大學應用數學系，Coursera: Deep Learning Specialization, Azure Data Scientist Associate",2
cleaned_fake_backend_engineer_resumes.csv,18,"後端工程師，Golang, Gin, gRPC, Kafka, Cassandra，開發 IoT 資料蒐集後端，穩定處理每秒上千筆設備訊息。；建立生產排程管理系統後端服務，支援多廠區協同作業。，學士，國立中央大學工業工程學系，MOS Excel Expert",2
cleaned_fake_backend_engineer_resumes.csv,19,"後端工程師，Java, Spring Boot, MySQL, Kubernetes, RabbitMQ，開發高併發後端架構，支援百萬級使用者請求。；建置微服務架構與 CI/CD 流程，提升部署與維護效率。，碩士，國立中央大學資訊工程學系，",2
cleaned_fake_data_analyst_resumes.csv,0,"資料分析師，Python, Pandas, Seaborn, PostgreSQL, Google Data Studio，分析線上銷售數據，調整商品定價與庫存策略。；建立會員分群模型，提升行銷活動回應率。，學士，國立中山大學公共衛生學系，",3
cleaned_fake_data_analyst_resumes.csv,1,"資料分析師，Python, Pandas, Seaborn, PostgreSQL, Google Data Studio，設計 A/B 測試結果報表，支援產品決策。；分析產品使用行為數據，提升功能優化依據。，博士，國立成功大學應用數學系，Python 程式設計認證",3
cleaned_fake_data_analyst_resumes.csv,2,"資料分析師，SQL, Metabase, Excel, Snowflake, Python，建立會員分群模型，提升行銷活動回應率。；分析線上銷售數據，調整商品定價與庫存策略。，碩士，國立交通大學應用數學系，Coursera: Deep Learning Specialization, Google Professional Data Engineer",3
cleaned_fake_data_analyst_resumes.csv,3,"資料分析師，SQL, Metabase, Excel, Snowflake, Python，建構財務分析儀表板，協助投資團隊快速掌握市場趨勢。；分析信用卡使用行為，挖掘潛在詐欺風險客戶。，碩士，國立台灣大學電機工程學系，",0
cleaned_fake_data_analyst_resumes.csv,4,"資料分析師，SQL, Tableau, Excel, Python, Power BI，分析信用卡使用行為，挖掘潛在詐欺風險客戶。；建構財務分析儀表板，協助投資團隊快速掌握市場趨勢。，碩士，國立中山大學財務金融學系，TQC+ 資料分析",0
